"","decimalLongitude","decimalLatitude","individualCount","species","year","month","country","occurrenceStatus","coordinateUncertaintyInMeters","datasetName","datasetKey"
"85",151.113732,-33.772053,NA,"Litoria fallax",2024,2,"Australia","PRESENT",15,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"86",151.113419,-33.772106,NA,"Litoria fallax",2024,2,"Australia","PRESENT",31,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"87",152.93,-26.387778,NA,"Litoria fallax",2024,2,"Australia","PRESENT",186,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"88",153.149198,-27.469359,NA,"Litoria fallax",2024,2,"Australia","PRESENT",72,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"89",152.947237,-26.698137,NA,"Litoria fallax",2024,2,"Australia","PRESENT",4,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"90",153.016022,-27.500095,NA,"Litoria fallax",2024,2,"Australia","PRESENT",4,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"91",145.749455,-16.90014,NA,"Litoria fallax",2024,3,"Australia","PRESENT",8,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"92",150.46138,-35.328238,NA,"Litoria fallax",2024,3,"Australia","PRESENT",4,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"93",153.111923,-25.964638,NA,"Litoria fallax",2024,3,"Australia","PRESENT",31,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"94",153.111772,-25.964831,NA,"Litoria fallax",2024,3,"Australia","PRESENT",15,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"95",151.113481,-33.772084,NA,"Litoria fallax",2024,3,"Australia","PRESENT",4,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"96",151.11322,-33.77215,NA,"Litoria fallax",2024,3,"Australia","PRESENT",8,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"97",151.113077,-33.772438,NA,"Litoria fallax",2024,3,"Australia","PRESENT",2,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"98",152.9245,-27.359078,NA,"Litoria fallax",2024,3,"Australia","PRESENT",3,"iNaturalist research-grade observations","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
